Symbol	GSM753773	GSM753777	GSM753778	GSM753779	GSM753775	GSM753770	GSM712085	GSM712090	GSM712093	GSM712100	GSM712101	GSM712104	GSM712110	GSM712113	GSM712115	GSM712118	GSM712123	GSM712128	GSM712136	GSM712138	GSM712139	GSM712151	GSM712152	GSM712157	GSM712163	GSM712091	GSM712096	GSM712097	GSM712102	GSM712103	GSM712106	GSM712107	GSM712108	GSM712111	GSM712117	GSM712119	GSM712121	GSM712124	GSM712125	GSM712129	GSM712133	GSM712135	GSM712145	GSM712147	GSM712148	GSM712149	GSM712150	GSM712153	GSM712155	GSM712156	GSM712158	GSM712159	GSM712398	GSM712399	GSM712401	GSM712402	GSM712403	GSM712406	GSM712408	GSM712410	GSM712411	GSM712412	GSM712413	GSM712415	GSM712416	GSM712418	GSM712421	GSM712422	GSM712423	GSM712426	GSM712428	GSM712429	GSM712434	GSM712440	GSM712441	GSM712445	GSM712446	GSM712447	GSM712448	GSM712449	GSM712450	GSM712451	GSM712452	GSM712454	GSM712457	GSM712461	GSM712462	GSM712463	GSM712464	GSM712465	GSM712466	GSM712467	GSM712469	GSM712470	GSM712471	GSM712472
AARS	6.60644	7.54003	7.8595	6.48449	7.06374	6.7609	9.25453	9.16571	7.5679	9.11909	8.73227	8.37462	8.67333	8.71564	8.20191	9.09384	9.11629	8.42448	9.30706	10.0766	9.00865	9.18301	8.84699	8.32244	9.0633	9.0328	8.06608	8.80813	7.68171	8.51952	8.52865	8.42606	8.09981	7.91336	8.63839	8.07071	8.19393	8.42869	7.43902	7.90886	8.96319	7.49107	7.97748	8.44495	9.55923	8.05791	7.85826	9.26954	8.5062	8.81162	8.52655	8.35791	8.30123587403268	8.10738037566717	8.62256252473378	9.26558909451763	9.33564869845926	9.46543124346586	8.37729648503324	8.95836050346217	7.63832558468753	8.74215197162594	9.33636652227013	9.06187069699067	7.73784467782756	8.85154832040363	9.17916310768801	8.38493413038097	8.12163635655119	8.95304860726167	7.83755040515841	6.84978177196264	8.54038605486455	8.35630731680319	8.57026188187326	7.94887052174925	8.68716666771274	7.97860278399579	8.83432054894257	7.66288951549575	8.71229050109344	7.77469775227799	7.95508687595145	7.79947703022948	8.16888351978313	6.08653407033306	7.88511341086713	8.69161717534018	8.15840329214433	7.39812738109178	8.19809894888584	8.54634399249484	9.29717334219623	8.77732533835892	6.5012495988293	7.97650673846803
ABCC2	3.63784	3.20817	5.00515	3.08661	3.35632	3.13486	6.98213	4.16533	4.42446	3.95574	4.38134	4.41387	3.39882	5.33307	4.07328	5.68844	4.28901	3.52019	6.93591	4.16659	3.66557	4.02457	8.53464	4.76553	3.75656	5.18694	3.77116	6.38188	4.07492	4.46466	3.88775	3.70975	3.4056	3.68584	4.04855	3.7629	3.41473	3.595	4.0033	3.5235	4.02466	3.87823	3.96835	5.95331	4.46783	6.46389	4.20526	3.92764	3.62669	5.35985	3.99421	3.72739	3.91128126945437	3.56264461186834	3.40783810327744	7.46604564413218	4.93841623200398	3.81360755355594	3.71975433392087	3.65233894842817	3.95410357471471	3.28547306581417	3.32932144721381	3.39962949416304	3.68535895184712	4.31779298757833	5.33610806161141	3.62244083624156	3.48578714275337	3.32530446828548	4.18384638858531	3.50106912780676	3.68401632030314	4.45221987753017	3.74398719593411	5.93273858950324	3.58519645552571	3.42691875318696	3.70157968741094	4.13168024103518	5.72621347721019	4.48568742479711	3.69404785192034	3.78457178195449	3.60747540659284	3.14437668095688	3.96247591938325	5.17339858360718	5.62326747646834	3.34868590541718	3.80190591928649	3.72791928022083	3.64885683897672	4.17992765098947	7.25504509335921	3.05756409014997
ABCC5	4.86164	5.15328	4.97702	4.84929	5.43543	4.48306	5.48292	5.58385	5.60713	6.14526	7.05241	5.88887	6.01043	5.26015	5.98425	5.32744	5.80163	5.76491	5.59398	5.79289	6.12835	6.18795	6.23945	6.31494	5.75986	5.84892	5.50631	5.88579	5.91241	5.7626	6.07555	5.80918	5.4982	5.31227	5.9074	6.2131	5.56297	6.52119	5.88579	5.67882	6.32199	5.17261	5.97209	5.38436	6.75042	5.89238	5.30186	5.64055	4.99231	6.13135	6.23105	5.63235	6.320722942226	5.19088897102231	5.60869674627719	5.84506248799185	5.33242653013906	5.69540969773545	5.96067975660287	5.88476876138341	5.58039804338859	5.46438437271376	4.92496925321698	5.25261758129215	5.41627657780314	6.77465836112971	7.01695912263308	6.41355810333642	5.17409693915261	6.47802849454761	5.5017783007331	5.28303042852106	5.73999391874554	6.36429413573969	5.90628458451349	5.64446102136753	4.9030900615284	5.56872620484309	5.79999377557044	5.37237504923628	5.81071865363016	5.86582955166808	5.37533705354641	5.5002587594885	5.47431644664587	5.84954403354658	5.72315784220209	6.10862581575121	6.22472757577354	5.69352678793235	6.28005869718024	5.70818265312485	5.95907212601075	6.83642000490487	6.09264861034601	5.63496939417298
ABCF1	6.28871	7.72954	7.20444	6.80143	7.03947	7.0753	8.45789	8.75787	8.1726	8.79917	8.4232	7.71932	8.68381	7.97106	8.2226	8.98948	8.2642	7.7581	8.51	8.48686	8.699	8.46542	8.22792	7.99664	8.45806	8.19877	8.09633	8.54691	7.68175	7.60681	8.4638	8.2647	8.02618	7.78156	8.68293	7.8036	8.34919	8.38175	7.79219	8.40112	8.69986	6.60489	7.74523	8.4295	7.58754	8.10002	8.08541	8.36767	7.72424	8.39062	8.23122	7.89368	8.14874017456258	7.59466529180529	7.06367447580612	8.13033879380317	8.5646400200066	7.98791067471127	8.29988925932179	8.07030876411955	7.86381233567543	6.77247441530603	7.46208942949352	8.7401619841841	8.72823330700699	8.03194510726783	8.01749608533301	8.21319512771286	7.68019949202005	8.67529174695443	7.3682352275502	7.79122354262527	7.68559818505219	8.88307698805875	8.19886066690339	7.70442917003166	6.65613759251268	7.84823202262777	8.06969299807079	8.16768572066741	8.04301457600482	8.44804543468121	7.98182461492702	7.55995327082412	7.91148408396187	6.88097812115354	8.26573572382669	8.52030486449599	7.4961140837226	6.83817522069449	7.47698237578908	7.24682907496009	8.69034221479734	8.67082386306576	7.68025677258272	7.79802560944295
ABHD12	6.93725	7.14591	7.27757	6.22179	7.17104	6.92572	8.32469	8.12215	7.18559	7.60072	8.7564	8.03477	7.44996	7.04938	8.03754	7.19962	7.83385	8.17169	8.70866	8.00784	7.66758	7.36154	8.55071	8.27737	8.34905	7.92075	7.31038	8.00479	6.86485	7.67507	8.83007	7.70722	7.04719	7.40339	7.45813	7.17363	7.54593	7.8298	7.80376	7.74125	8.45891	8.03805	7.46682	7.86324	7.87493	8.21905	7.88953	7.79797	7.57999	8.41979	7.71175	7.57647	7.30249071634463	6.57711113103942	7.91567177193492	8.1945590263989	7.36718077771648	7.97173285547454	7.61994110182876	7.53676037367355	6.87336543064741	7.51192069918052	7.66393688893039	8.07460423468813	7.26728754129455	8.99771941062171	8.41687247676938	8.00200518604906	7.16044530502543	9.20051675310109	6.98100402011723	7.42322004336019	7.71935434454068	8.15098868826751	7.92951522688954	7.58479247151846	7.07653367735725	6.83442048644884	8.71909397090864	7.21802273233076	7.41222382382177	7.22806987339711	7.85814888936936	7.11641679107993	7.5738289788239	7.37923516520652	7.99197986287862	8.05040818812442	7.56119641709227	7.64911162865985	8.13526889426467	8.54439807836078	7.86667968667	8.30255761115123	7.6588205923396	7.67725671438318
ACOX1	7.63818	6.41925	6.55137	5.28575	7.14278	6.45542	8.34616	8.36332	8.22843	8.59725	8.65013	7.77036	7.65793	7.23692	7.45968	8.19422	8.12643	7.28374	8.95882	8.6878	8.09286	8.725	8.8977	7.56961	8.17988	8.78149	7.12277	8.19937	7.66041	7.82152	8.37	7.75151	7.58759	7.66014	7.97433	7.93359	7.70945	7.72607	7.73818	7.5091	8.41516	7.92748	7.55392	7.60183	8.83039	8.62554	8.48861	8.06489	7.92975	8.53853	8.438	8.35604	7.53463706043968	7.06403189190386	7.7451876010539	7.72273349248744	8.55127935499749	7.63887378346062	8.77739616757912	8.63221441936786	7.28893109732239	8.15229813723191	8.01086470911096	7.41779452208317	7.91075830058443	8.98259878653584	9.02270819896717	8.86155430973415	6.99657406760343	7.62981335368819	7.8241171948027	6.06860222409916	7.34927427584631	8.11308402418521	8.77333747703548	8.25343115571948	7.28453816167515	6.5780514486027	7.6462271757397	7.71877030054482	8.51578968739084	7.87556706610599	8.69233078871434	8.12875773207876	8.09671795143421	8.25113918929483	7.86470410023917	8.98546374456665	7.42955278733462	7.69140995135059	8.7555508625942	8.28690341537943	7.6232955741681	8.22529488039191	8.05015044610843	7.29123500107217
ACTN4	9.37953	8.95796	9.85145	9.44028	9.12301	9.30344	10.891	11.0331	10.019	11.2011	10.6339	10.5396	10.8891	9.11251	10.5762	10.3366	11.1759	10.6229	10.5601	11.051	11.0906	10.9252	10.0509	10.6382	11.0433	11.2658	10.2581	10.6392	9.86619	9.79602	11.2687	10.6547	10.0021	10.268	10.6675	10.3516	10.6303	10.7879	10.3204	10.5726	10.7831	9.46438	10.3482	10.9362	10.5673	10.9185	10.6391	10.9196	10.2929	11.0129	10.9045	10.6424	9.99500587269191	10.2453866335006	9.70404241259146	10.3334365971425	10.8762302001693	10.4198560059021	10.550662742012	10.6340022137718	10.4064492213147	10.4957673943094	10.7148052668258	10.7088265655909	9.72723252647244	11.5864274377743	10.9543156617529	10.408623294491	10.2265446659723	10.5258420732488	9.82470347387844	9.65530693888845	10.2651344648524	11.0896517169802	11.2349522742657	10.1388570478599	9.79499114046843	9.39387463943331	10.9102906799319	10.6039275348324	10.2098767716204	10.5575473070704	10.4896075203097	10.0627644866879	10.289773960851	8.94583439234214	10.2691202656757	11.0046816903381	8.93931217281311	10.2151307817965	9.68375106294559	9.55475605448263	9.69516494712139	11.029140013572	9.78212787417508	9.57015573948172
ADAM19	5.61133	5.46951	5.73527	5.7807	5.519	5.55598	6.64443	7.02863	5.91477	6.55257	7.60105	7.11127	7.03175	5.6235	7.97362	6.83479	8.1192	7.48755	5.8298	6.0484	7.12861	6.3042	6.41806	6.13147	8.0348	6.76166	7.43048	6.38573	6.12443	6.70352	6.46355	6.96817	6.91078	6.42777	6.81107	6.67131	8.35924	6.92911	5.63571	6.90677	6.58293	6.62552	7.82901	6.90342	6.29178	6.84569	6.13447	6.32422	6.02524	7.44682	6.75485	6.85102	6.34972026694719	6.31813242951336	6.33256322163562	6.40262006440898	6.61841348993202	7.20100593229559	6.32784470650027	7.16418840725342	6.21353867734658	5.81806157407236	5.66986087786311	6.05033048160964	5.85706796585787	7.020719333166	6.44152160030259	6.95826454255514	6.35603783443395	7.30137923481353	6.52821120892804	5.18937186023379	6.50106663991333	6.83199183473875	6.1663010980472	6.60140062147181	6.25365916298349	7.27045985369054	6.4346273254104	6.28139354639012	6.71265272277402	8.826953819989	6.73667782900481	5.38411546545861	6.01865089527041	5.59845401548158	6.7325360212749	6.63279185410833	6.51747658699513	6.45921603206013	6.61961933268883	5.54558043199276	6.91440856576942	6.75059744865408	7.16736029798329	6.42558350473432
ADH1B	3.90364	2.56648	2.44991	2.40766	2.54865	2.30945	3.32947	2.86282	3.74954	4.48981	3.12266	2.90643	2.6535	2.65368	2.72677	2.56208	2.98346	3.82635	2.81385	4.5668	2.9194	3.78323	2.77103	2.57242	3.70909	4.90401	6.19423	3.08056	3.82736	3.06866	2.68891	2.9459	7.40731	4.26059	2.64965	3.18243	3.48701	3.80019	3.52942	2.71982	3.44401	3.45607	8.10941	2.47473	2.99545	3.24227	3.25005	3.04259	2.93128	5.11451	6.16059	6.24904	2.79763701613124	1.88135465451881	2.37829960481011	2.99580501395358	3.07211634054862	2.07708272316442	6.71956900843152	4.71596779151096	4.31060914109817	3.33011343505864	2.65654048670829	2.38437401182301	2.44204275455212	2.3921258701449	2.9634886603264	3.45415587617342	2.52094650589744	2.51491022277793	3.81110988994998	2.42301893175232	3.10045510129916	2.20430215539473	4.82379486997207	3.93474567620197	4.86212209078983	1.81335433668199	3.07754264137395	5.43408215530105	4.32726928250801	2.70799503481542	3.82067898718996	5.62998813544913	5.45984119926577	5.5681638883409	2.11903171385389	2.44035259527866	3.3260341784663	1.93753656540585	3.55388798127215	3.266078002134	2.09501366102048	5.32195978485174	2.43839556875149	5.07465008845437
ADRBK1	6.717	6.72335	7.25677	6.96471	6.80966	6.98648	8.30237	8.24211	7.79482	7.92188	8.10405	7.31198	8.14089	7.11288	7.50743	7.91562	7.85932	7.85029	8.19352	8.84898	8.07065	8.35625	7.5118	7.75505	7.48012	7.68046	7.44098	7.78681	7.50504	7.20268	7.78109	7.535	7.6067	7.61257	7.8756	7.3105	8.01486	7.90408	7.33365	7.58821	8.20683	7.11136	7.74816	8.125	6.85688	7.36738	7.64571	8.30845	7.96195	7.42483	7.61471	7.992	7.44728893570277	7.53562754479436	7.82032231025137	9.00411743547294	8.16706021236566	7.97760940722363	7.76312342188578	7.67734478140362	7.50275492224044	7.68309486474173	8.05989598796164	8.19603380580676	7.29588320251013	7.93380112389199	7.90159803158976	8.33076692292773	7.21086598858872	8.17663055655169	7.48201261248197	7.55949432906075	8.11922161947968	8.58265470605157	7.83614160345324	7.2799195008226	6.8941256673593	7.49301391348045	7.30561108322596	7.14657795638163	7.69517266536058	7.31944804176104	7.80831014985327	7.48834032976272	7.30721270461238	6.68025670009654	7.62391364170935	7.45152929396352	7.73411044431223	7.22782742163172	7.91324260675163	8.39920341708651	7.21370164612532	7.51718264276231	7.21529013946758	7.37214401098286
